Test file,Test index,Smell,Hint,Where,Term,Sentence
../testcases/image/1434_Desktop (Xubuntu),5,Unverified Action,,action,,Go to Applications ->Settings Manager ->Users and Groupsand add a new user
../testcases/image/1434_Desktop (Xubuntu),5,Unverified Action,,action,,"Logout, then log back in as the initial user"
../testcases/image/1434_Desktop (Xubuntu),5,Unverified Action,,action,,Remove the new user
../testcases/image/1434_Desktop (Xubuntu),5,Ambiguous Test,verb + indefinite determiner,action,add a,Go to Applications ->Settings Manager ->Users and Groupsand add a new user
../testcases/image/1434_Desktop (Xubuntu),6,Unverified Action,,action,,Go to Applications ->Settings Manager ->Screensaver
../testcases/image/1434_Desktop (Xubuntu),7,Unverified Action,,action,,Put your machine to sleep (Applications ->Logout ->Suspend)
../testcases/image/1434_Desktop (Xubuntu),7,Ambiguous Test,adverb of manner,verification,succesfully,Does it wake up succesfully?
../testcases/image/1434_Desktop (Xubuntu),7,Ambiguous Test,adverb of manner,verification,successfully,Does it fall asleep after that time and does it wake up again successfully?
../testcases/image/1434_Desktop (Xubuntu),8,Misplaced Action,,verification,Confirm,Confirm you are able to read files from it
../testcases/image/1434_Desktop (Xubuntu),9,Conditional Test Logic,dependent clause,action,If,"If your printer doesn't show up, add it to the list (click Addand follow the wizard)"
../testcases/image/1434_Desktop (Xubuntu),9,Eager Action,multiple actions,action,"[Plug, and run]",Plug in your printer and run Applications ->System ->Printing
../testcases/image/1434_Desktop (Xubuntu),9,Eager Action,multiple actions,action,"[, add, (click, Addand follow]","If your printer doesn't show up, add it to the list (click Addand follow the wizard)"
../testcases/image/1434_Desktop (Xubuntu),9,Unverified Action,,action,,Plug in your printer and run Applications ->System ->Printing
../testcases/image/1434_Desktop (Xubuntu),9,Unverified Action,,action,,"If your printer doesn't show up, add it to the list (click Addand follow the wizard)"
../testcases/image/1434_Desktop (Xubuntu),9,Ambiguous Test,verb + indefinite determiner,action,print a,Try to print a test page
../testcases/image/1434_Desktop (Xubuntu),10,Ambiguous Test,verb + indefinite determiner,action,pair a,Try to pair a Bluetooth device using the Bluetooth symbol in the panel.
../testcases/image/1434_Desktop (Xubuntu),10,Ambiguous Test,verb + indefinite determiner,action,send a,Try to send a file from your device to your computer and the other way round
../testcases/image/1436_Post-Installation Tests,0,Conditional Test Logic,dependent clause,action,If,"If you installed a non-english version of FAMILY, note the language used on the desktop"
../testcases/image/1436_Post-Installation Tests,0,Eager Action,multiple actions,action,"[Login, or ensure]","Login as the user you created, or ensure that you are auto-logged in as the user created during setup if you checked the auto-login option"
../testcases/image/1436_Post-Installation Tests,0,Unverified Action,,action,,Execute the following commands on the command line:
../testcases/image/1436_Post-Installation Tests,0,Misplaced Verification,SUT state declaration,action,"[updater, are, called]",Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Misplaced Verification,SUT state declaration,action,"[version, are, called]",Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,adverb of manner,verification,correctly,"The result correctly lists the architecture of the installation you installed. For example, x86_64 for 64-bit x86 machine."
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,adverb of manner,verification,properly,The ubuntu homepage is loaded and displays properly
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,adjective,action,earlier,Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,verb + indefinite determiner,action,install any,Launch 'software-updater' (precise and earlier version are called update-manager) and install any updates presented
../testcases/image/1436_Post-Installation Tests,0,Ambiguous Test,verb + indefinite determiner,action,installed a,"If you installed a non-english version of FAMILY, note the language used on the desktop"
../testcases/image/1437_Alternate Install (Entire Disk),0,Eager Action,multiple actions,action,"[Verify, or select]",Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Eager Action,multiple actions,action,"[Log, and check]",Log in and check the desktop is installed
../testcases/image/1437_Alternate Install (Entire Disk),0,Eager Action,multiple actions,action,"[Login, and check]",Login and check the system installed correctly
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Action,,verification,Wait,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Verification,verification performed,action,Verify,Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Verification,verification performed,action,check,Log in and check the desktop is installed
../testcases/image/1437_Alternate Install (Entire Disk),0,Misplaced Verification,verification performed,action,check,Login and check the system installed correctly
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,adverb of manner,action,correctly,Login and check the system installed correctly
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,adverb of manner,verification,actually,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,adjective,verification,stronger,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a hostname for the machine and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a password and press Enter
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,You should be prompted to enter a password
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,entered a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,see an,You should see an option to select a disk to install on
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,select a,You should see an option to select a disk to install on
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request for http proxy information
../testcases/image/1437_Alternate Install (Entire Disk),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request to confirm date and time
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[Verify, or select]",Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[- resize, and use]","Select Guided - resize ""drive details"" and use freed space and press Enter"
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[: Repeat, and select]",Sub test case 1: Repeat the test case and select the minimum size for the partition
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[: Repeat, and select]",Sub test case 2: Repeat the test case and select the maximum size for the partition
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[Log, and check]",Log in and check the desktop is installed
../testcases/image/1438_Alternate Install (Guided),0,Eager Action,multiple actions,action,"[Login, and check]",Login and check the system installed correctly
../testcases/image/1438_Alternate Install (Guided),0,Unverified Action,,action,,Sub test case 1: Repeat the test case and select the minimum size for the partition
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Action,,verification,Wait,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Verification,verification performed,action,Verify,Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Verification,verification performed,action,check,Log in and check the desktop is installed
../testcases/image/1438_Alternate Install (Guided),0,Misplaced Verification,verification performed,action,check,Login and check the system installed correctly
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,adverb of manner,action,correctly,Login and check the system installed correctly
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,adverb of manner,verification,actually,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,adjective,verification,stronger,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a hostname for the machine and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a password and press Enter
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,You should be prompted to enter a password
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,entered a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request for http proxy information
../testcases/image/1438_Alternate Install (Guided),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request to confirm date and time
../testcases/image/1439_Alternate Install (Encryption),0,Eager Action,multiple actions,action,"[Verify, or select]",Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Eager Action,multiple actions,action,"[Log, and check]",Log in and check the desktop is installed
../testcases/image/1439_Alternate Install (Encryption),0,Eager Action,multiple actions,action,"[Login, and check]",Login and check the system installed correctly
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Action,,verification,Wait,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Verification,verification performed,action,Verify,Verify that the pre-selected time zone is correct or select your time zone and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Verification,verification performed,action,check,Log in and check the desktop is installed
../testcases/image/1439_Alternate Install (Encryption),0,Misplaced Verification,verification performed,action,check,Login and check the system installed correctly
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,adverb of manner,action,correctly,Login and check the system installed correctly
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,adverb of manner,verification,actually,Wait for a while - The install may seem like it has locked at a percentage but is actually working in the background. You can check and see if it is working by switching to tty4 (alt + f4).
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,adjective,verification,stronger,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a hostname for the machine and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Add a,Add a password and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Enter an,Enter an encryption passphrase and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,action,Specify an,Specify an amount of the volume group to use for guided partitioning and press Enter
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,You should be prompted to enter a password
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,entered a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,enter a,"You should be prompted to confirm ( If you entered a weak password, confirm that you want to keep it or select no and enter a stronger one)."
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,see an,You should see an option to select a disk to install on
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,select a,You should see an option to select a disk to install on
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,enter an,You should be asked to enter an encryption passphraser
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,specify an,You should be asked to specify an amount of the volume group to use for guided partitioning
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request to confirm writing the changes to disk
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request for http proxy information
../testcases/image/1439_Alternate Install (Encryption),0,Ambiguous Test,verb + indefinite determiner,verification,see a,You should see a request to confirm date and time
../testcases/image/1440_Live LTSP,0,Eager Action,multiple actions,action,"[Start, and select]","Start Edubuntu from an image and select the ""Try Edubuntu without Installing"" option from the boot menu to start up to a full desktop session"
../testcases/image/1440_Live LTSP,0,Eager Action,multiple actions,action,"[Boot, and configure]",Boot a thin client and configure it to utilize the live LTSP server
../testcases/image/1440_Live LTSP,0,Ambiguous Test,adverb of manner,verification,properly,Edubuntu desktop boots up properly
../testcases/image/1440_Live LTSP,0,Ambiguous Test,verb + indefinite determiner,action,Select an,Select an unused network interface
../testcases/image/1440_Live LTSP,0,Ambiguous Test,verb + indefinite determiner,action,Boot a,Boot a thin client and configure it to utilize the live LTSP server
../testcases/image/1440_Live LTSP,0,Ambiguous Test,verb + indefinite determiner,verification,displays a,"""LTSP Live"" launches and displays a prompt"
../testcases/image/1440_Live LTSP,0,Ambiguous Test,verb + indefinite determiner,verification,obtains a,Thin client boots and obtains a working desktop from server
../testcases/image/1441_Install (No Network Connection),0,Eager Action,multiple actions,action,"[, disconnect, ,restrict]","On a physical server, disconnect the network cable(s); if running KVM, make sure to pass '-net nic,model=virtio -net user,restrict=y' on the Testdrive setting window"
../testcases/image/1441_Install (No Network Connection),0,Eager Action,multiple actions,action,"[will fail, . Accept, Accept, then select]","The installer will fail to acquire a DHCP address. Accept Continue, and then select Do not configure network at this time"
../testcases/image/1441_Install (No Network Connection),0,Eager Action,multiple actions,action,"[""Write, , verify, and select]","At ""Write changes to disks"", verify that everythings is right and select YES"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"On a physical server, disconnect the network cable(s); if running KVM, make sure to pass '-net nic,model=virtio -net user,restrict=y' on the Testdrive setting window"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Boot up the image
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Choose the desired language
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"Select ""Install Ubuntu Server"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Choose the language
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select your location
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Configure locales
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At configure keyboard page, select NO "
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select the country of the keyboard
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select the keyboard layout
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"The installer will fail to acquire a DHCP address. Accept Continue, and then select Do not configure network at this time"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select hostname ubuntu as default
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Insert the name for the new user
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Insert the name for the account
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Choose a password
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Reinsert the password
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,At encrypt request select NO
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Setup the timezone
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At partitioning select ""Guided - Use entire disk"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select disk to partition
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At ""Write changes to disks"", verify that everythings is right and select YES"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At ""http proxy"" request, let it blank and press enter"
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At managing upgrades select ""No automatic updates"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,"At Software selection, press ""Enter"""
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Select to install Grub in the master boot record
../testcases/image/1441_Install (No Network Connection),0,Unverified Action,,action,,Remove the installation media (CDROM or USB key)
../testcases/image/1441_Install (No Network Connection),0,Misplaced Verification,verification performed,action,verify,"At ""Write changes to disks"", verify that everythings is right and select YES"
../testcases/image/1441_Install (No Network Connection),0,Ambiguous Test,adjective,action,-net,"On a physical server, disconnect the network cable(s); if running KVM, make sure to pass '-net nic,model=virtio -net user,restrict=y' on the Testdrive setting window"
../testcases/image/1441_Install (No Network Connection),0,Ambiguous Test,verb + indefinite determiner,action,acquire a,"The installer will fail to acquire a DHCP address. Accept Continue, and then select Do not configure network at this time"
../testcases/image/1441_Install (No Network Connection),0,Ambiguous Test,verb + indefinite determiner,action,Choose a,Choose a password
../testcases/image/1442_Mythbuntu Frontend,0,Conditional Test Logic,dependent clause,action,Once,"Once the machine boots up, it should boot into the frontend."
../testcases/image/1442_Mythbuntu Frontend,0,Eager Action,multiple actions,action,"[Select, ""Watch, only work]","Select ""Watch TV"". (this will only work if you have a backend already in the network)"
../testcases/image/1442_Mythbuntu Frontend,0,Unverified Action,,action,,"Once installation is finished, remove the installation media and reboot."
../testcases/image/1442_Mythbuntu Frontend,0,Unverified Action,,action,,"Once the machine boots up, it should boot into the frontend."
../testcases/image/1442_Mythbuntu Frontend,0,Ambiguous Test,adverb of manner,action,only,"Select ""Watch TV"". (this will only work if you have a backend already in the network)"
../testcases/image/1442_Mythbuntu Frontend,0,Ambiguous Test,adjective,action,Most,"Go though the Ubiquity install as you would any other install. Most options won't matter for this testcase, but be sure to choose the following options' "
../testcases/image/1442_Mythbuntu Frontend,0,Ambiguous Test,verb + indefinite determiner,action,have a,"Select ""Watch TV"". (this will only work if you have a backend already in the network)"
../testcases/image/1442_Mythbuntu Frontend,0,Ambiguous Test,verb + indefinite determiner,verification,have no,"Do NOT name the user mythtvAutomatic (Guided) Partitioning""Frontend""If you have no remote, choose no remote suppportFor the security key, enter the PIN from the backend (in the backend testcase, this is set to 1234)"
../testcases/image/1442_Mythbuntu Frontend,0,Ambiguous Test,verb + indefinite determiner,verification,choose no,"Do NOT name the user mythtvAutomatic (Guided) Partitioning""Frontend""If you have no remote, choose no remote suppportFor the security key, enter the PIN from the backend (in the backend testcase, this is set to 1234)"
../testcases/image/1443_Rescue Mode,0,Eager Action,multiple actions,action,"[Select, ""Rescue]","Select ""Rescue a broken system"""
../testcases/image/1443_Rescue Mode,0,Eager Action,multiple actions,action,"[Verify, or setup]",Verify or setup the timezone
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Boot up the image
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,At the main screen press ESC
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,"Select ""Rescue a broken system"""
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Choose the desired language
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Choose the language
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Select your location
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Configure locales
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,"At configure keyboard page, select NO "
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Select the country of the keyboard
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Select the keyboard layout
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Select hostname ubuntu as default
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Verify or setup the timezone
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,Choose the device to use as root filesystem
../testcases/image/1443_Rescue Mode,0,Unverified Action,,action,,The list of the Rescue operations will be shown:
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Ensure,Ensure that changes have been made and that there is a new file created
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Ensure,Ensure that chroot works and that files are listed in both enviroments
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Ensure,Ensure the system boots as expected
../testcases/image/1443_Rescue Mode,0,Misplaced Action,,verification,Choose,Choose your new root file system and press Enter
../testcases/image/1443_Rescue Mode,0,Misplaced Verification,verification performed,action,Verify,Verify or setup the timezone
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,adjective,verification,more,This case requires more than one root partition
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,action,Rescue a,"Select ""Rescue a broken system"""
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,action,Execute a,Execute a shell /dev/sda1 (or what you have choosed as root filesytem)
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,action,Execute a,Execute a shell in the installer environement
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,action,Choose a,Choose a different root file system
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,verification,is a,Ensure that changes have been made and that there is a new file created
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,verification,place a,Select Reinstall GRUB boot loader and press Enter. Doing this will remove your Grub config and mbr and place a new automatic version in it's place
../testcases/image/1443_Rescue Mode,0,Ambiguous Test,verb + indefinite determiner,verification,Choose a,Select Choose a different root file system
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Conditional Test Logic,dependent clause,action,Once,"Once the installed system boots, it will boot into the MythTV frontend. Exit the frontend by hitting escape and selecting ""yes, exit now"""
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Conditional Test Logic,dependent clause,verification,When,"When you put in the file path, it should detect the ""File info"" and ""File size"""
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Eager Action,multiple actions,action,"[Open, and choose]","Open the Applications menu and choose system and then ""Mythtv backend setup""."
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Eager Action,multiple actions,action,"[Go, and select]","Go to ""2. Capture cards"" and select ""(New capture card)"""
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Eager Action,multiple actions,action,"[Go, and select]","Go to ""4. Video sources"" and select ""(New video source)"""
../testcases/image/1444_Mythbuntu Backend & Frontend,0,Eager Action,multiple actions,action,"[Go, and select]","Go to ""5. Input connections"", and select the only option in there (the DEMO recorder)"
